YEAR,COUNTRY,LOCATION,FATALITY_TOTAL
1977,INDONESIA,SUNDA ISLANDS,3.0
1978,JAPAN,TOKAIDO,1.0
1978,JAPAN,SANRIKU,1.0
1978,GREECE,"THESSALONIKI (SALONICA), GREECE",1.0
1978,MEXICO,MEXICO,1.0
1979,MEXICO,S. MEXICO,1.0
1979,SERBIA AND MONTENEGRO,MONTENEGRO,3.0
1979,INDONESIA,LOMBLEN ISLAND [LEMBATA],4.0
1979,INDONESIA,IRIAN JAYA,3.0
1979,FRANCE,FRENCH RIVIERA (LIGURIAN SEA),1.0
1979,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",3.0
1980,PORTUGAL,AZORES,2.0
1980,USA,WASHINGTON,2.0
1980,ALGERIA,EL ASNAM,4.0
1981,GREECE,ATHENS-EASTERN GULF OF CORINTH,1.0
1981,SAMOA,SAMOA ISLANDS,1.0
1981,MEXICO,MEXICO,1.0
1982,INDONESIA,FLORES SEA,1.0
